yearOfRegistration,gender,ageBroad,citizenship,isForcedLabour,isSexualExploit,CountryOfExploitation,nacionalidade_lat,nacionalidade_long,nacionalidade,pais_exploracao_lat,pais_exploracao_long,pais_exploracao,nacionalidade_alpha3,pais_exploracao_alpha3
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,CO,0.0,1.0,,4.570868,-74.297333,Colombia,,,,COL,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,0.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
2002,Female,18--20,MD,0.0,1.0,,47.411631,28.369885,Moldova,,,,MDA,
